French: je m'ennuie = English: I'm bored. ### English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
French: C'est un beau temps pour nourrir les canards. = English: It's lovely weather for feeding the ducks. ### English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	J'ai mes rhumatismes mais à 93 ans je ne me plains pas.
English: Shall I use a little dill to garnish? = French: Est-ce que je garnis avec un peu d'aneth ? ### English: I'd better get drinking too then! = French:	Alors j'ai plutôt intérêt à boire aussi !	Je vais boire aussi alors !
English: Hopefully your boss will be able to appreciate that. = French: J'espère que votre chef saura le comprendre. ### English: Because they are hungry = French:	Parce qu'ils ont faim.	Parce qu'ils ont faim.
English: cut those potatoes into proper english chips, now = French: Coupe ces pommes de terre en vraies frites à l'anglaise, tout de suite. ### English: No, the car is at the garage being mended. = French:	Non, la voiture est en réparation au garage.	Non, la voiture est au garage pour être réparée.
French: Sans encombres. = English: Without a hitch. ### English: I love it when they give free food! = French:	J'adore quand ils donnent de la nourriture gratuitement.	Je suis
French: Je te sers quelque chose ? = English: Can I get you something? ### English: Well, you do work us hard and everything... = French:	Bon, c'est vrai que vous nous faites beaucoup travailler...	Bien, vous nous faites travailler dur et tout... = English: Well, you work us hard and everything...
French: En fait, ça me donne plein d'idées de décoration et de costumes! = English: That's giving me lots of ideas for decorations and costumes! ### English: I'm not convinced a restaurant is a great idea for such a, potentially, large gathering. = French:	Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une groupe potentiellement si grand.	Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une telle, potentiellement, grande réunion.
English: Bye! = French: Au revoir ! ### English: Tobacco too? = French:	Avec du tabac aussi ?	Tabac aussi ?
French: et de discuter de l'aspect financier = English: And to discuss the money side of things. ### English: Why would I be ashamed? = French:	Pourquoi est-ce que j'aurais honte ?	Pourquoi serais-je honteux?
French: Ce n'est pas une mauvaise idée.... = English: That's not a bad idea... ### English: I had to wing it at the meeting. = French:	J'ai dû improviser pendant la réunion.	J'ai du improviser à la réunion.
French: J'avais aussi demandé un jus d'orange = English: I also asked for an orange juice. ### English: Do you want an outdoor party as the weather is so good = French:	Est-ce que tu veux une fête dehors? Le temps est si beau.	Voulez-vous une fête en plein air comme le temps est si bon.
French: Oui merci.; Et si vous avez le journal du jour je suis preneur = English: Yes thank you. And I'd like today's paper if you have it. ### English: What sort of music were you thinking of? = French:	Tu pensais à quelle sorte de musique ?	Quel genre de musique vous avez en tête?
French: Oh désolé, je vous ai mal vu, bonsoir monsieur! = English: Oh sorry, I didn't see you there. Good evening, sir! ### English: What do you think? = French:	Qu'est-ce que vous en pensez ?	Qu'est-ce que vous en pensez?
French: Comment puis-je vous aider? = English: How can I help you? ### English: Don't worry, I wouldn't taste it myself. = French:	Ne vous inquiétez pas, je ne les goûterai pas moi-même.	Ne vous inquiétez pas, je ne le goûterai pas moi-même.
English: It might be... What flavours do they have? = French: Peut-être que oui... Ils ont quels parfums? ### English: The plan is to get a taxi to her flat. = French:	On a prévu de prendre un taxi jusqu'à chez elle.	Le plan est de prendre un taxi jusqu'à son appartement.
English: Do you fly often? = French: Vous prenez souvent l'avion ? ### English: This liftoften breaks and the alarm bell does not work = French:	Cet ascenseur tombe souvent en panne et la sonnette d'alarme ne marche pas.	Cet ascenseur est souvent en panne et l'alarme ne fonctionne pas.
English: You're nearly blind = French: Tu es presque aveugle. ### English: What about you? = French:	Et vous ?	Et toi, alors?
French: Vous ne pensez pas qu'elle va trouver cette démarche inappropriée? = English: Don't you think she'll find it inappropriate? ### English: I am not as young as I used to be = French:	Je ne suis plus aussi jeune qu'avant.	Je ne suis plus aussi jeune que je l'étais
English: and thank you for offering to bake a cake, I'm sure it will look wonderful = French: Et merci d'avoir proposé de faire un gâteau, je suis sûre qu'il sera magnifique. ### English: I have been a bartender for a few years and I've worked in a lot of different places. = French:	J'ai été barmaid depuis quelques années et j'ai travaillé à beaucoup d'endroits différents.	J'ai été barman pendant quelques années et j'ai travaillé dans beaucoup d'endroits différents.
French: Non, je ne connais pas le secteur. = English: No, I don't know the area. ### English: Now what for dessert? = French:	Et maintenant, quoi comme dessert ?	Maintenant, qu'est-ce qu'on prend pour le dessert?
